movie_name,release_year,imdb_grades,genres,casts,duration in min,country,production
Pride Jewel,2022,,"Action,Thriller","JakeVincent,SarkisBakalyan,GeorgeBoudoures,AyaHoja,BrianD.Cohen",96,UnitedStatesofAmerica,"AppliedArtProductions,PointupFilms"
Black Site,2022,,"Thriller,Action","MichelleMonaghan,JaiCourtney,JasonClarke,FayssalBazzi,UliLatukefu",99,UnitedStatesofAmerica,"ThunderRoadPictures,StoryBridgeFilms,AsburyParkPictures"
A Thousand Little Cuts,2022,,Thriller,"BrooksRyan,TrisMarie,RandyWayne,RebeccaLiddiard,MaggieMcClure",87,UnitedStatesofAmerica,"FilmstreetProductions,SpitfireProductions"
Survive,2022,,"Adventure,Drama,Thriller","TerenceMaynard,LaurelMarsden,MartaTimofeeva,SophieTurner,CoreyHawkins",108,UnitedStatesofAmerica,Gunpowder&Sky
Dead by Midnight (Y2Kill),2022,,Horror,"KaneHodder,BillMoseley,ErinBrown,HannahFierman,ChrisGore",96,UnitedStatesofAmerica,"MemoryWedge,MonsterbusterEntertainment,You42"
Wrath: A Seven Deadly Sins Story,2022,,"TVMovie,Thriller","TinaKnowles,RomeoMiller,AntonioCupo,MichelleWilliams,",85,SouthAfrica,XXX
A Second Chance at Love,2022,,"TVMovie,Comedy,Romance","JarodJoseph,NykeemProvo,EriqLaSalle,LatonyaWilliams,B.J.Harrison",84,UnitedStatesofAmerica,NGNProductions
The Mystery of Lop Nur,2022,,"Adventure,ScienceFiction,Action","ChoenyiTsering,JerryWu,GaoChenglong,ZhipengWang,TongYang",86,Argentina,"ShenzhenFenghaiBrothersCulturalMediaCo,DongyangDreamMakerFilmCo,KechuanCulturalDevelopmentCo"
"Love, Game, Match",2022,,"Romance,TVMovie,Comedy,Family","CristineProsperi,SylviaGraceCrim,SusanLaBrecque,ShannonCollins,BrookeBurfitt",85,UnitedStatesofAmerica,"ChamplainMedia,Pictureland"
How Did We Get Here?,2022,,Documentary,"SeánWilliamMcLoughlin,BrentLilley,RyanReynolds,JackBlack,KarenGillan",83,Canada,"ShoutFactory!,MomentHouse,RealGoodTouring"
Icahn: The Restless Billionaire,2022,,Documentary,"BillGates,AndrewRossSorkin,OliverStone,CarlIcahn,CaraLombardo",102,UnitedStatesofAmerica,"HBODocumentaryFilms,AtlasMediaCorp."
The Marvelous Mrs. Shenkman,2022,,Comedy,"AprilHavaShenkman,JaredWhitham,MiguelAyala,KarinaDeLaCruz,AudreyDensmore",60,Russia,XXX
Stalked by a Prince,2022,,"Thriller,TVMovie","JonathanKeltz,NatalieHall,",85,UnitedKingdom,XXX
SILVERBACK: The Trent Williams Story,2021,,Documentary,"LilWayne,TrentWilliams,AdrianPeterson,VernonDavis,VinceTaylor",86,UnitedKingdom,"CloseUp360,LLC"
Set Secrets,2022,,Drama,"JesseDwightBingham,NadineBone,TroyJackson,PatreiceManders,",78,UnitedStatesofAmerica,FocusedFylmz
The Millennial,2020,,Drama,"TerayleHill,KhalilKain,ObbaBabatundé,TerriJ.Vaughn,IvanMbakop",80,Canada,"Studio11Films,ComeHereBenjiProductions,EyeamCinema"
The Policeman's Lineage,2022,,Mystery,"ChoJin-woong,ParkHee-soon,KwonYul,LeeHyun-Wook,ParkMyung-hoon",119,UnitedStatesofAmerica,"AcemakerMovieworks,LeeyangFilm"
Asurado,2021,,"Action,Crime","LeeDoll-hyung,LeeSeol‑gu,LeeWon-jong,JangGwang,JungMi-nam",90,UnitedStatesofAmerica,JOYNCINEMA
North to Home,2022,,"Drama,TVMovie,Family","FredKeating,MattHamilton,BarbaraNiven,EricaDurance,TomStevens",84,UnitedKingdom,TimelessPictures
Brazen,2022,,"Drama,Mystery,Thriller","AlyssaMilano,AlisonAraya,SamPage,EmilieUllerup,ColleenWheeler",94,UnitedStatesofAmerica,MandalayPictures
Song Ci,2022,,"Mystery,History,Thriller","HaiboChang,ZhaoYibei,BobbyAu-Yeung,LuYu,ShaoYun",92,UnitedStatesofAmerica,"映美传媒,大唐星禾"
Back On The Society,2021,,"Crime,Drama","JordanChan,SamLee,",79,SouthKorea,XXX
Happy New Year,2021,,"Comedy,Romance","HanJi-min,KangHa-neul,LeeHye-young,LimYoona,JungJin-young",90,UnitedStatesofAmerica,"CJENM,HiveMediaCorp"
Louis C.K.: Sorry,2021,,Comedy,"LouisC.K.,",63,Canada,CircusKingFilms
9/11: Life Under Attack,2021,,"Documentary,TVMovie,History",XXX,77,UnitedStatesofAmerica,"HistoryChannel,FranceTélévisions,VrijzinnigProtestantseRadioOmroep(VPRO),ITV,BrookLappingProductions"
South Park: Post Covid,2021,,"Animation,Comedy","MattStone,AprilStewart,TreyParker,MonaMarshall,KimberlyBrooks",60,UnitedKingdom,"MTVStudios,SouthParkStudios"
Autumn Road,2021,,"Thriller,Mystery,Horror,Drama","LoreleiLinklater,LarParkLincoln,KerryMcCormick,GeorgeWelder,RileyCusick",95,UnitedStatesofAmerica,TheLastMotel
Baking Spirits Bright,2021,,"TVMovie,Comedy,Romance","RekhaSharma,DionJohnstone,ManojSood,AadilaDosani,NimetKanji",84,Canada,"PrincipleProductions,BRBPictures,StudioBRB,UpstreamFlix"
You Make It Feel Like Christmas,2021,,"TVMovie,Romance,Comedy","MichaelXavier,SolangeSookram,JohnB.Lowe,AlexPoch-Goldin,AdamHurtig",89,Canada,MarvistaEntertainment
Amina,2021,,"War,Adventure,Drama,History","LucyAmeh,EmmanuelDegri,SaniDanja,BlessingGodwinOgaga,NwekeVictoria",120,UnitedStatesofAmerica,VideosonicStudiosGroupLtd
Pups Alone,2021,,"Family,Comedy","RobSchneider,DolphLundgren,MalcolmMcDowell,KeithDavid,ReneeDorian",107,UnitedStatesofAmerica,"BoundlessPictures,Firebrand"
The Danger Next Door,2021,,News,"MariaCasado,ElenaValenciano,",87,Netherlands,XXX
Fighting For Her Family,2021,,Drama,"AdamHuss,AliceAmter,CameronGilliam,AliveaDisney-LaFavor,PaigeMartinReynolds",82,UnitedStatesofAmerica,HeadlongEntertainment
The Good Father: The Martin MacNeill Story,2021,,"TVMovie,Drama","TomEverettScott,CharismaCarpenter,AnwenO'Driscoll,",84,UnitedStatesofAmerica,XXX
Waking Up To Danger,2021,,Drama,XXX,85,UnitedStatesofAmerica,StreaminstantlyDetails
Picture Perfect Lies,2021,,"Thriller,Family,TVMovie,Crime","MatthewPohlkamp,JamieRoy,JoelBerti,JordanFrechtman,CrystalAllen",85,UnitedStatesofAmerica,"ReelOneEntertainment,MapleIslandFilms"
Black Light,2021,,Drama,"ParkJi-hu,YumHye-ran,LeeJu-won,KimSee-eun,JoDae-hee",107,UnitedStatesofAmerica,"ChallanFilm,FilmNewWave,OneTakeFilm"
The Queen of Kung Fu,2020,,"Romance,Action","LeifYe,LiuMengmeng,QingFeng,",86,UnitedStatesofAmerica,XXX
Up Up & Up,2019,,"Animation,Family,Comedy",XXX,82,UnitedStatesofAmerica,BlueLionEntertainmentCo.
Supporting Mom's Affair,2020,,"Comedy,Drama","LeeIn-young,ShinJi-suk,YooByung-sun,ChoiSol-hee,",61,Switzerland,XXX
Morning Show Mysteries: Murder Ever After,2021,,"TVMovie,Mystery,Crime","KarenRobinson,OsricChau,DavidLewis,CarolineCave,GraemeMcComb",84,UnitedStatesofAmerica,ShowRoadProductions
In Action,2020,,"Action,Comedy","EricSilvera,SeanKenealy,",79,Canada,ThinkpieLLC
Little Mix: LM5: The Tour Film,2020,,Documentary,"PerrieEdwards,JadeThirlwall,JesyNelson,Stormzy,Leigh-AnnePinnock",90,Australia,TrafalgarReleasing
Double Patty,2021,,Drama,"KangDoo,JungYoung-joo,JoDal-hwan,Irene,ShinSeung-ho",107,UnitedStatesofAmerica,"KT,백그림,kth"
Party 'Round the Globe,2018,,"Comedy,Drama","GakuImamura,MisaoHirayama,HirobumiWatanabe,",116,France,FoolishPiggiesFilms
Francesco,2020,,Documentary,"PopeFrancis,GretaThunberg,PopeBenedictXVI,JuanCarlosCruz,",116,UnitedStatesofAmerica,"Abramorama,UCLASchoolofFilmandTelevision,Discovery+,VisualEffectsStudio,DiamondDocs"
Dance!,2018,,"Animation,Music","KJSchrock,",68,Serbia,WOWNowEntertainment
The Old World,2020,,Action,"BrunoHoffmann,SzymonGodziek,RachelAtherton,DawidGodziek,NicoVink",69,SouthKorea,RedBullMediaHouse
The Wild Heart,1952,,Drama,"JenniferJones,CyrilCusack,SybilThorndike,DavidFarrar,HughGriffith",82,Japan,"TheArchers,LondonFilmProductions,VanguardFilms"
Crock of Gold: A Few Rounds with Shane MacGowan,2020,,Documentary,XXX,124,UnitedKingdom,"BBCMusic,HanWayFilms,WarnerMusicEntertainment"
Beaus of Holly,2020,,"Comedy,TVMovie,Romance","JohnnyPacar,NikkiLeigh,MichaelCopon,JenniferFreeman,",80,UnitedStatesofAmerica,XXX
Taylor Swift – Folklore: The Long Pond Studio Sessions,2020,,"Music,Documentary","AaronDessner,TaylorSwift,JackAntonoff,JustinVernon,",106,UnitedStatesofAmerica,"ElectricLightStudios,TaylorSwiftProductions"
The Rise and Fall of the City of Mahagonny,2011,,"Music,Drama","DonaldKaasch,JohnEasterlin,WillardWhite,OttoKatzameier,JaneHenschel",138,France,BelAirClassiques
Fame: The Musical,2020,,Drama,"SimonAnthony,AlexanderZane,DuncanSmith,DaisyEdwards,MollyMcGuire",120,UnitedStatesofAmerica,EightEngines
Revenge of the Samurai Cop,2017,,"Comedy,Action,Crime","DawnaLeeHeising,MarkFrazer,MelNovak,KristineDeBell,RalphGarman",97,UnitedKingdom,CineridgeEntertainment
Hellis,2018,,"Drama,Action,Thriller","MaxAmato,MariusBizau,DavideAmato,",77,UnitedStatesofAmerica,DavidPetrucciFilms
Five-O,2016,,"Action,Comedy","AdrianMillerJr.,ChamarAvery,MurdaPain,MartellLane,ThomasL.Harris",110,UnitedKingdom,IndieRights
Roy Chubby Brown - Hangs up the Helmet Live,2015,,Comedy,"Roy""Chubby""Brown,",64,UnitedStatesofAmerica,UniversalPictures
East Side Story,2015,,"Adventure,Action,Crime","NatalieGonzalez,NateGriffin,KevinStewart,MalekBurns,TonyStanz",87,Canada,MataboEntertainment
Rodencia and the Princess Tooth,2012,,Animation,"GonzaloUrtizberéa,EnriquePorcellana,RicardoAlanis,HernánBravo,NataliaRosminati",87,UnitedKingdom,"InstitutoNacionaldeCineyArtesAudiovisuales,RedPost"
Cosmos,2019,,"Adventure,ScienceFiction,Mystery","MaureenSadusk,AlbertAmerson,JeannieJefferies,",90,UnitedStatesofAmerica,EllianderPictures
Air Bound,2018,,Animation,"AkioOtsuka,ShuuichiIkeda,YasuhiroTakato,WataruTakagi,YuukiKaji",94,Philippines,XXX
Bad Dad Rehab,2016,,Drama,"WesleyJonathan,RobertRi'chard,MalikYoba,RickGonzalez,RobertChristopherRiley",90,UnitedKingdom,"BobbcatFilms,TVOne"
A Mosquito-Man,2016,,"Thriller,Adventure","MichaelManasseri,FalahCannon,KimberleyKates,MontyBane,RickyWayne",79,UnitedStatesofAmerica,BigScreenEntertainmentGroup
Dark Cove,2016,,"Thriller,Horror","CameronCrosby,AlexandraBrown,RobWilley,TyStokoe,JamesAnderson",90,UnitedStatesofAmerica,TallGrassFilms
Sammy and Co: Turtle Reef,2016,,"Animation,Adventure,Family",XXX,75,UnitedStatesofAmerica,MomentumPictures
Space Dogs Adventure to the Moon,2016,,"Animation,Family","AshleeSimpson,AliciaSilverstone,SamuelWitwer,",90,UnitedStatesofAmerica,XXX
Tyler Perry's Aunt Bam's Place - The Play,2012,,"Music,Family,Comedy","RalphNocerini,SeanReimer,MaryBecker,TaralHicks,CassiDavis",105,UnitedStatesofAmerica,XXX
The Black Hole,2015,,"ScienceFiction,Thriller","IzzieSteele,AaronPerilo,DarlaRae,DeanCain,MalcolmMcDowell",90,UnitedStatesofAmerica,"BlackWingDigital,AsgardEntertainment,RedPineStudios"
Sociopathia,2015,,Horror,"TammyJean,NicolaFiore,AstaParedes,JasonKeenan,RosarioAlmontes",90,Canada,NapalmLoveProductions
Free the Nipple,2014,,"Comedy,Drama","MoniqueColeman,LinaEsco,JaneaneGarofalo,ZachGrenier,CaseyLaBow",90,UnitedStatesofAmerica,"BethsabéeMucho,DisruptiveFilms"
Homeward Bound: The Incredible Journey,1993,,"Drama,Adventure,Family,Comedy","MichaelJ.Fox,FrankWelker,TedD'Arms,JeanSmart,DonAmeche",90,UnitedKingdom,"TouchwoodPacificPartners1,WaltDisneyPictures"
Two Years Before the Mast,1946,,"Adventure,Drama","JamesBurke,DarrylHickman,BrianDonlevy,LuisvanRooten,TheodoreNewton",90,UnitedStatesofAmerica,Paramount
Zeus & Roxanne,1997,,"Adventure,Romance,Family,Comedy","ArnoldVosloo,JimR.Coleman,KathleenQuinlan,DuchessTomasello,MikoHughes",90,UnitedStatesofAmerica,RysherEntertainment
Martin Lawrence: You So Crazy,1994,,Comedy,"MartinLawrence,",90,UnitedStatesofAmerica,HBOIndependentProductions
Bob the Butler,2005,,Comedy,"DoloresDrake,HiroKanagawa,BillChandler,JuliaArkos,GenevieveBuechner",90,Lithuania,"RampageEntertainment,AquariusFilms,BobProductions,OpenEyeProductions"
The Dentist 2: Brace Yourself,1998,,"Mystery,Horror","RalphP.Martin,JillianMcWhirter,LindaHoffman,CorbinBernsen,WendyRobie",90,UnitedStatesofAmerica,TrimarkPictures
The Program,1993,,"Drama,Action,Romance","CraigSheffer,KristySwanson,AndrewBryniarski,OmarEpps,HalleBerry",90,UnitedStatesofAmerica,TouchstonePictures
High School Debut,2011,,"Romance,Comedy","RinaAizawa,YukaMasuda,JunpeiMizobata,ItoOhno,YukiFurukawa",90,UnitedStatesofAmerica,AsmikAce
Paheli,2005,,"Romance,Drama,Fantasy","JuhiChawla,RajpalYadav,RaniMukerji,AnupamKher,NaseeruddinShah",90,UnitedStatesofAmerica,RedChilliesEntertainment
Pure Country 2: The Gift,2010,,"Romance,Drama,Music","DeanCain,DavidChattam,MichaelYama,ToddTruley,WilliamKatt",90,Australia,AngryMonkeyEntertainment
Dream House,2011,,"Mystery,Drama,Thriller","SarahGadon,MarleyOtto,JamesCollins,NaomiWatts,DavidHuband",90,Canada,"CliffjackMotionPictures,MorganCreekProductions"
Convergence,2015,,"Mystery,Action,Thriller","LauraCayouette,ChelseaBruland,JonathanDePew,GingerMcNamara,LuisDaSilvaJr.",90,UnitedStatesofAmerica,"DramaFreeZone,Frame29Films"
Donald Trump's The Art of the Deal: The Movie,2016,,Comedy,"TymberleeHill,HenryWinkler,JackMcBrayer,PaulScheer,JacobTremblay",90,Canada,FunnyorDie
The Division: Agent Origins,2016,,Action,"SashaAndreev,EdithCampion,RachelHernandez,KarlaSmith,CarolineFlint",90,UnitedStatesofAmerica,"CorridorDigital,UbisoftEntertainment"
Monkey Up,2016,,"Comedy,Family","ChrisCoppola,DannyWoodburn,SkylerGisondo,DavidMilchard,AtticusShaffer",90,UnitedStatesofAmerica,AirBudEntertainment
Stag Hunt,2015,,"Comedy,Horror","JulieT.Wallace,MackenzieAstin,KatherineMurray-Cowper,JoanFoster,WilliamBrandt",90,Argentina,DogFaceFilms
Eddie and the Cruisers,1983,,"Music,Drama","KennyVance,JohnStockwell,RobertoLombardi,HowardJohnson,JoePantoliano",90,Germany,"AuroraProductions,EmbassyPicturesCorporation"
Hell Fire,2015,,Horror,"EleanorWragge,EddieHegan,MarkThomson,JoshuaCole,SarahLlewellyn",90,UnitedStatesofAmerica,MaritimPictures
Closer to God,2014,,"Thriller,ScienceFiction,Horror","JeremyChilds,FionaBrown,AnnCoc-Kroft,ErinMills,CushlaAshton",90,UnitedStatesofAmerica,LCPictures
Appetite for Love,2016,,"Romance,Drama,TVMovie","FionaVroom,StefaniaIndelicato,JasonSimpson,CardiWong,AntonioCayonne",90,UnitedStatesofAmerica,CrownMediaProductions
Manson's Lost Girls,2016,,"Drama,TVMovie,Crime,Thriller","GraceVictoriaCox,EdenBrolin,JeffWard,IsabelShill,LeJon",90,UnitedStatesofAmerica,AsylumEntertainment
Unlucky Stars,2015,,"Thriller,Comedy,Action,Adventure","MackenzieFirgens,SamHargrave,AmyJohnston,GeorgeCrayton,JoseMontesinos",90,UnitedKingdom,PrototypeMonks
Whitney,2015,,"Romance,Drama,Music","ArlenEscarpeta,JamesA.Watson,Jr,Billy'Sly'Williams,NafessaWilliams,YayaDaCosta",90,UnitedStatesofAmerica,"SilverScreenPictures,SanitskyCompany"
Mr. Fix It,2006,,"Comedy,Romance","HerschelBleefeld,PatHealy,LeeWeaver,RodneyRowland,GeminiBarnett",90,UnitedStatesofAmerica,"One-Tu-ThreeProductionsInc.,ChicarayFilms"
Thicker Than Water,1999,,"Drama,Action","FatJoe,IceCube,Tom'yaBowden,KidadaJones,GarrettMarchbank",90,Germany,Marsmedia
The Spitfire Grill,1996,,"Drama,Comedy","WillPatton,EllenBurstyn,KieranMulroney,JohnM.Jackson,MarciaGayHarden",90,France,CastleRockEntertainment
Look Who's Talking Now!,1993,,"Comedy,Romance,Family","DianeKeaton,OlympiaDukakis,CharlesBarkley,KirstieAlley,TabithaLupien",90,France,TriStarPictures
"Love, Honour and Obey",2000,,"Crime,Comedy,Action,Thriller","JonnyLeeMiller,JudeLaw,RayWinstone,KathyBurke,LailaMorse",90,UnitedStatesofAmerica,FugitiveFeatures
Chloe,2009,,"Drama,Mystery,Thriller","SevernThompson,DavidReale,JulieKhaner,TamsenMcDonough,R.H.Thomson",90,UnitedStatesofAmerica,"OutpostStudios,StudioCanal,TheMontecitoPictureCompany"
Darkweb,2016,,"Thriller,Action","SamSchweikert,LiannaLiew,MeganHui,DianaRudychenko,TristanRobin",90,UnitedStatesofAmerica,ActeursAuteursAssociés(AAA)
Preaching to the Perverted,1997,,Comedy,"JulieGraham,IanEmbleton,TomBell,ChristienAnholt,JulianWadham",90,UnitedStatesofAmerica,"CyclopsVision,PTTPFilms"
Return of the Living Dead 3,1993,,"Comedy,Horror,ScienceFiction,Romance","MichaelDeak,J.TrevorEdmond,MelindaClarke,BrianPeck,MikeMoroff",90,UnitedStatesofAmerica,OzlaProductions
Alone Yet Not Alone,2013,,"History,Drama,Action","IanNelson,IvanLinow,JennGotzonChandler,KellyGreyson,HayleyLovitt",90,Norway,EnthuseEntertainment
Bangistan,2015,,"Drama,Comedy","ShivkumarSubramaniam,ErikaGuntherová,TomaszKarolak,RajeshSharma,TomAlter",90,UnitedStatesofAmerica,"JungleePictures,ExcelEntertainment"
The Blood Harvest,2016,,Horror,"GordonThorpe,HobartBosworth,RobertBrower,HelenWare,WilliamL.Thorne",90,Canada,YellowFeverProductions
The House on Pine Street,2015,,"Drama,Horror","EmilyGoss,NataliePellegrini,LiamMacdonald,Luc,Hyisheem",90,UnitedStatesofAmerica,E3WProductions
One Eight Seven,1997,,"Thriller,Drama","TonyPlana,LizadelMundo,MethodMan,LeonardL.Thomas,DominicHoffman",90,UnitedStatesofAmerica,IconEntertainmentInternational
Camera Trap,2015,,"Horror,Thriller","MarkBonnar,AnaUlaru,RossMarquand,PaulThornley,",90,UnitedKingdom,BigscopeFilms
Anger of the Dead,2015,,"Horror,Drama","MichaelSegal,MariusBizau,AaronStielstra,DésiréeGiorgetti,ClaudioCamilli",90,UnitedStatesofAmerica,"EventFilmDistribution,ExtremeVideoSnc"
The Ultimate Legacy,2015,,"TVMovie,Comedy,Drama,Adventure","KkHeim,AdrienneC.Moore,BillCobbs,AliHillis,RaquelWelch",90,UnitedStatesofAmerica,ReelWorksStudios
Sensoria,2015,,"Drama,Thriller,Horror","SamanthaDawn,AlidaMorberg,KarinBertling,RafaelPettersson,JoeHendrick",90,UnitedStatesofAmerica,"FilmiSkåne,StudioKorsholm"
Superman/Batman: Public Enemies,2009,,"Adventure,Animation,Family,Action","XanderBerkeley,BrianGeorge,JonathanAdams,BruceTimm,JohnC.McGinley",90,UnitedStatesofAmerica,"DCEntertainment,DCComics,WarnerPremiere"
